"C2API_Version","Export_Date","Token","Precontext","Sentence","Postcontext"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","* kurt schiesser","Knochige Indianergesichter, gefärbte Bisonschädel, den Mond anheulende Wölfe, einzigartige Ledergürtel in allen vorstellbaren Designs, Geldbörsen, verziert mit Harley-Davidson-Motoren, religiös anmutenden Motiven, elegante Messerscheiden, verzierte Motorradsättel: Wer Willys Leder-Workshop betritt, taucht in eine andere Welt ein, in die Welt der Lederhandwerkskunst: Einige der verwendeten Werkzeuge erinnern an einen fast schon vergessenen Beruf, den des Sattlers: Ledernähmaschinen, Drehmesser, Punziereisen.","Nur 25 solcher LederWorkshops gibt es in unserem Land."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Und weil Neptun stark steht, muss man sich vor zu hohen Erwartungen hüten, sonst kann es leicht zu Enttäuschungen kommen.","Wenn am Sonntag der Mond im Skorpion und der Mars in kritischer Position steht, können schmerzliche und auch leidenschaftliche Gefühle unerwartet an die Öffentlichkeit kommen.","Man reagiert sehr emotional, ohne lange zu überlegen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Offensichtlich hatte Malcolm Redman nach dem Abendessen plötzlich den Einfall gehabt, mit seiner Verlobten eine Ruderbootfahrt auf dem nahegelegenen Fluss zu machen.","«Der Mond schien hell.. ., Sie wissen ja, wie das ist», sagte Redman entschuldigend.","«Als wir mitten auf dem Fluss waren, machten wir ein bisschen Unfug, und Jane fiel ins Wasser.»"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Redman war sehr bewegt, als er Carter die Geschichte erzählte.","«Dieser verdammte Mond verschwand hinter eine Wolke, und ich konnte nicht die Spur sehen.»","Nach etwa zehn Minuten habe er die Suche aufgegeben."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond.","Auf dem Programm stehen Lieder von Roelli bis Swing, zarte, humorvolle Kindernachtgebete von Ringenatz und frechere Nachtwünsche von Mozart.","Das nächtliche Sehnen einer Waldgeiss wird besungen und das Leben eigenartiger Mondbewohner, wie zum Beispiel das von der Mondschaft, oder dem Mann im Mond. Die Chorschule Herisau besteht aus zirka 30 Sänger und Sängerinnen.bl.",NA
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond.","Auf dem Programm stehen Lieder von Roelli bis Swing, zarte, humorvolle Kindernachtgebete von Ringenatz und frechere Nachtwünsche von Mozart.","Das nächtliche Sehnen einer Waldgeiss wird besungen und das Leben eigenartiger Mondbewohner, wie zum Beispiel das vom dem Mondschaft, oder dem Mann im Mond. Die Chorschule Herisau besteht aus zirka 30 Sänger und Sängerinnen.bl.",NA
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","* Heini Schwendener","Am Donnerstag abend, dem letzten Tag der Freilicht-Kino-Veranstaltung, strahlt Rohy Batliwala mit dem Mond am Abendhimmel um die Wette.","«Unter solchen Umständen könnte man das Open-air-Kino noch tagelang weiterführen», sagt er mit Blick auf das Publikum, das an der Kasse Schlange steht."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Am frühen Samstagmorgen wechselt die Sonne das Sternzeichen und wandert vom feurigen Löwen in die gemässigtere Jungfrau.","Man würde also meinen, dass damit ein ruhiges Wochenende bevorsteht, zumal sich auch der Mond in diesen zwei Tagen im beständigen Stier aufhält.","Von Ruhe ist allerdings nicht viel zu spüren, und wer sich auf ein entspanntes und ausgeglichenes Wochenende freut, wird vermutlich enttäuscht."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Es ist deshalb kein Zufall, dass der Appenzeller Verlag auch für 1998 einen Saat- undPflanzkalender nach Mondstand und Sternzeichen herausgibt.","Der Kalender zeigt an, wie der Mond Pflege und Wachstum von Zier- und Nutzpflanzen beeinflusst.","Jedem Monat ist eine Doppelseite mit dem Monatsblatt des Appenzeller Kalenders gewidmet."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond»","* peter surber","Es mag Zufall sein, dass der eine, der 1979 gestorbene St.Galler Dichter Joseph Kopf, «todhelle» Gedichte schreibt, dass der andere, Franz Schubert, in einem seiner befremdlichsten Lieder «Grab und Mond» anruft.","Oder vielleicht doch kein Zufall - beide, Kopf wie Schubert, kannten das Dunkle des Lebens, ahnten das noch Dunklere des Todes."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Die Konfliktgefahr ist deutlich geringer, und man zeigt sich vielmehr von der genussfreudigen Seite.","Von Freitagabend bis Sonntag steht der Mond im Löwen, und das ist gut, weil es die Lebenslust, den Tatendrang und den Optimismus steigert.","Am Samstag gibt es zudem sehr dynamische Konstellationen, die zur Aktivität und Geselligkeit auffordern."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Ein milder Samstagabend am See wischen «Arion» und «Idyll».","Der Mond scheint goldorange über die Dächer der Badhütte und spiegelt sich im leicht wellenden Wasser.","Gut gelaunte Menschen flanieren den Ständen entlang auf der Promenade oder sitzen an den von freiwilligen Helfern aufgebauten Tischen, geniessen die einmalige Athmosphäre."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond..","Schaufelberger","Ursina Gregori und Charlotte Widmer waren bereits mit ihrem ersten gemeinsamen Programm «Ja, wenn der Mond.. .»","Gäste von «Open opera»; vor vollbesetzter Kreuzbleiche-Turnhalle standen sie nun auch mit ihrer zweiten Produktion auf der Bühne."
